Sample,AgeID,ObjID,Actual Full ID,Morphotype_Name
ANT57.118.1,40.58743,obj00025,ANT57-118-17H-1W-108-111cm_obj00025,Acrodin Tip Small Spearhead Pointed Tooth
ANT57.118.1,40.58743,obj00029,ANT57-118-17H-1W-108-111cm_obj00029,Acrodin Tip Long Cone No Blades Dome Root
ANT57.118.1,40.58743,obj00053,ANT57-118-17H-1W-108-111cm_obj00053,Acrodin Tip Small Cone No Blades Dome Root
ANT58.119.1,40.69399,obj00008,ANT58-119-17H-2W-10-13cm_obj00008,Acrodin Tip Funnel 3/4 Root Flat
ANT58.119.1,40.69399,obj00011,ANT58-119-17H-2W-10-13cm_obj00011,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT58.119.1,40.69399,obj00019,ANT58-119-17H-2W-10-13cm_obj00019,Acrodin Tip Concave 1/2 Root Thick Blades
ANT58.120.1,40.79646,obj00006,ANT58-120-17H-2W-60-63cm_obj00006,Acrodin Tip Small Cone No Blades Dome Root
ANT58.120.1,40.79646,obj00007,ANT58-120-17H-2W-60-63cm_obj00007,Acrodin Tip Small Cone No Blades Dome Root
ANT58.120.1,40.79646,obj00012,ANT58-120-17H-2W-60-63cm_obj00012,Acrodin Tip Small Cone No Blades Dome Root
ANT59.121.1,40.89687,obj00049,ANT59-121-17H-2W-109-112cm_obj00049,Acrodin Tip Small Spearhead Pointed Tooth
ANT59.121.1,40.89687,obj00056,ANT59-121-17H-2W-109-112cm_obj00056,Acrodin Tip Standard Root Small Cone
ANT59.121.1,40.89687,obj00066,ANT59-121-17H-2W-109-112cm_obj00066,Acrodin Tip Standard Root Small Cone
ANT59.121.1,40.89687,obj00068,ANT59-121-17H-2W-109-112cm_obj00068,Acrodin Tip Concave 1/2 Root Thick Blades
ANT59.121.1,40.89687,obj00074,ANT59-121-17H-2W-109-112cm_obj00074,Acrodin Tip Small Cone No Blades Dome Root
ANT59.121.1,40.89687,obj00077,ANT59-121-17H-2W-109-112cm_obj00077,Acrodin Tip Small Cone No Blades Dome Root
ANT59.121.1,40.89687,obj00079,ANT59-121-17H-2W-109-112cm_obj00079,Acrodin Tip Small Cone No Blades Dome Root
ANT59.121.1,40.89687,obj00091,ANT59-121-17H-2W-109-112cm_obj00091,Acrodin Tip Small Cone No Blades Dome Root
ANT59.122.1,41.00139,obj00023,ANT59-122-17H-3W-10-13cm_obj00023,Acrodin Tip Small Cone No Blades Dome Root
ANT59.122.1,41.00139,obj00025,ANT59-122-17H-3W-10-13cm_obj00025,Acrodin Tip Small Cone No Blades Dome Root
ANT59.122.1,41.00139,obj00027,ANT59-122-17H-3W-10-13cm_obj00027,Acrodin Tip Small Cone No Blades Dome Root
ANT59.122.1,41.00139,obj00028,ANT59-122-17H-3W-10-13cm_obj00028,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT59.122.1,41.00139,obj00035,ANT59-122-17H-3W-10-13cm_obj00035,Acrodin Tip Small Cone No Blades Dome Root
ANT59.122.1,41.00139,obj00036,ANT59-122-17H-3W-10-13cm_obj00036,Acrodin Tip Small Spearhead Tooth
ANT59.122.1,41.00139,obj00039,ANT59-122-17H-3W-10-13cm_obj00039,Acrodin Tip Small Cone No Blades Dome Root
ANT59.122.1,41.00139,obj00040,ANT59-122-17H-3W-10-13cm_obj00040,Acrodin Tip Small Cone No Blades Dome Root
ANT60.123.1,41.10385,obj00012,ANT60-123-17H-3W-60-64cm_obj00012,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT60.124.1,41.19722,obj00004,ANT60-124-17H-3W-110-113cm_obj00004,Acrodin Tip Funnel 3/4 Root
ANT60.124.1,41.19722,obj00006,ANT60-124-17H-3W-110-113cm_obj00006,Acrodin Tip Small Cone No Blades Dome Root
ANT60.124.1,41.19722,obj00012,ANT60-124-17H-3W-110-113cm_obj00012,Acrodin Tip Standard Root Small Cone
ANT60.124.1,41.19722,obj00013,ANT60-124-17H-3W-110-113cm_obj00013,Acrodin Tip Standard Root Small Cone
ANT60.124.1,41.19722,obj00016,ANT60-124-17H-3W-110-113cm_obj00016,Acrodin Tip Small Cone No Blades Dome Root
ANT60.124.1,41.19722,obj00018,ANT60-124-17H-3W-110-113cm_obj00018,Acrodin Tip Small Cone No Blades Dome Root
ANT61.125.1,41.29,obj00009,ANT61-125-17H-4W-10-13cm_obj00009,Acrodin Tip Small Spearhead Tooth
ANT61.125.1,41.29,obj00011,ANT61-125-17H-4W-10-13cm_obj00011,Acrodin Tip Standard Slight Curve
ANT61.125.1,41.29,obj00016,ANT61-125-17H-4W-10-13cm_obj00016,Acrodin Tip Small Cone No Blades Dome Root
ANT61.125.1,41.29,obj00018,ANT61-125-17H-4W-10-13cm_obj00018,Acrodin Tip Small Cone No Blades Dome Root
ANT61.125.1,41.29,obj00019,ANT61-125-17H-4W-10-13cm_obj00019,Round Acrodin Tip Small Tooth Long Dummy Root
ANT61.126.1,41.43641,obj00005,ANT61-126-17H-4W-60-63cm_obj00005,Acrodin Tip Small Spearhead Pointed Tooth
ANT61.126.1,41.43641,obj00007,ANT61-126-17H-4W-60-63cm_obj00007,Acrodin Tip Funnel 3/4 Root
ANT61.126.1,41.43641,obj00012,ANT61-126-17H-4W-60-63cm_obj00012,Acrodin Tip Small Cone No Blades Dome Root
ANT61.126.1,41.43641,obj00013,ANT61-126-17H-4W-60-63cm_obj00013,Acrodin Tip Small Cone No Blades Dome Root
ANT62.127.1,41.57696,obj00006,ANT62-127-17H-4W-108-112cm_obj00006,Acrodin Tip Long Dark Root
ANT62.127.1,41.57696,obj00039,ANT62-127-17H-4W-108-112cm_obj00039,Acrodin Tip Small Cone No Blades Dome Root
ANT62.127.1,41.57696,obj00048,ANT62-127-17H-4W-108-112cm_obj00048,Acrodin Tip Standard Root Small Cone
ANT62.127.1,41.57696,obj00056,ANT62-127-17H-4W-108-112cm_obj00056,Acrodin Tip Small Cone No Blades Dome Root
ANT62.128.1,41.72922,obj00031,ANT62-128-17H-5W-10-13cm_obj00031,Acrodin Tip Dome 3/4 Root
ANT62.128.1,41.72922,obj00040,ANT62-128-17H-5W-10-13cm_obj00040,Acrodin Tip Dome 3/4 Root
ANT62.128.1,41.72922,obj00049,ANT62-128-17H-5W-10-13cm_obj00049,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT62.128.1,41.72922,obj00051,ANT62-128-17H-5W-10-13cm_obj00051,Acrodin Tip Small Cone No Blades Dome Root
ANT62.128.1,41.72922,obj00054,ANT62-128-17H-5W-10-13cm_obj00054,Acrodin Tip Small Cone No Blades Dome Root
ANT62.128.1,41.72922,obj00055,ANT62-128-17H-5W-10-13cm_obj00055,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT62.128.1,41.72922,obj00065,ANT62-128-17H-5W-10-13cm_obj00065,Acrodin Tip Long Cone No Blades Dome Root
